name;jahr;disziplin;altersklasse;leistung;grp_mean;z_score
Dennis Messmer;2018;3000 m Hindernis;Maenner;34037,0;588,7257351676699;34,055485934058815
Olivia Guerth;2019;3000 m;18;36982,0;704,1898143459916;33,590055539476
Lena Posniak;2018;800 m;U23;7664,0;138,2370417193426;28,087704655579845
Lena Posniak;2018;800 m;Frauen;7664,0;140,27942857142855;24,419128963980555
Ann-Kathrin Kopf;2020;800 m;Frauen;7628,0;140,27942857142855;24,302286687030286
Alina Herr;2020;800 m;18;77,6;134,41742833052277;-17,455334205408825
Andreas Strassner;2018;Halbmarathon;Maenner;66,26;4013,6988721136763;-16,90649853504261
Dominik Fabianowski;2018;Halbmarathon;Maenner;66,31;4013,6988721136763;-16,906284389883144
Thomas Bruns;2006;Halbmarathon;Maenner;67,36;4013,6988721136763;-16,90178734153435
Steven Orlowski;2018;Halbmarathon;U23;68,55;4356,972816326531;-11,899575701536886
Benjamin;2020;Halbmarathon;U23;76,47;4356,972816326531;-11,87759917459617
Lina Minnich;2018;10 km;18;42,01;2451,143500914077;-10,459924836830847
Nele Prueser;2018;10 km;18;42,1;2451,143500914077;-10,459534076736002
Luise Detzler;2018;10 km;18;42,17;2451,143500914077;-10,459230152217787
Sarah Dohse;2018;10 km;18;43,03;2451,143500914077;-10,455496222422587
Merit Klus;2019;10 km;18;43,16;2451,143500914077;-10,454931791174477
Annika Lehmann;2018;10 km;18;43,52;2451,143500914077;-10,453368750795091
Gerhard Kaster;2020;100 km;Maenner;74987,0;30967,512087813622;9,784811465749502
Sebastian Liebscher;2023;2000 m Hindernis;20;526,34;376,6722873345936;7,890465716207903
Walter Zimmermann;2020;100 km;Maenner;64878,0;30967,512087813622;7,537746272610849
Emilia Seitz;2023;3000 m Hindernis;Frauen;1124,92;667,3810519951633;7,442016940785885
Katrin Reischmann;2018;Halbmarathon;U23;79,47;5221,543145275035;-7,394280856057094
Annalena Hofele;2020;Halbmarathon;U23;80,16;5221,543145275035;-7,393288638784695
Maria Keres;2018;Halbmarathon;U23;80,28;5221,543145275035;-7,393116079259062
Lena Sommer;2018;Halbmarathon;U23;80,49;5221,543145275035;-7,3928141000892005
Sophia Kaiser;2018;Halbmarathon;U23;81,42;5221,543145275035;-7,3914767637655325
Natalie Wangler;2018;Halbmarathon;U23;82,0;5221,543145275035;-7,390642726058299
Bonnie Andres;2020;Halbmarathon;U23;82,27;5221,543145275035;-7,3902544671256205
Theodor Hammerl;2022;2000 m Hindernis;20;515,25;376,6722873345936;7,305802108844766
Luca Zorrmann;2023;10 000 m;U23;2984,91;1957,6673254086184;6,854516736441968
Selina Berger;2020;10 km;20;3205,0;2337,4150442477876;6,8289682777891105
Christian Jakob;2018;100 km;Maenner;463,0;30967,512087813622;-6,7806536102684065
Marco Prasse;2018;100 km;Maenner;482,49;30967,512087813622;-6,776321302363146
Fabienne Amrhein;2018;Halbmarathon;Frauen;72,55;4596,4809923664125;-6,768461439877417
Melina Traenkle;2018;Halbmarathon;Frauen;74,35;4596,4809923664125;-6,765768377005252
Luisa Boschan;2018;Halbmarathon;Frauen;76,32;4596,4809923664125;-6,762820969306272
Thea Heim;2018;Halbmarathon;Frauen;76,41;4596,4809923664125;-6,762686316162664
Christine Schleifer;2018;Halbmarathon;Frauen;78,43;4596,4809923664125;-6,759664101161678
Isabel Leibfried;2018;Halbmarathon;Frauen;78,46000000000001;4596,4809923664125;-6,759619216780475
Rina Fischl;2018;Halbmarathon;Frauen;79,17;4596,4809923664125;-6,75855695309201
Nora Kusterer;2018;Halbmarathon;Frauen;79,23;4596,4809923664125;-6,758467184329605
Mayada Al-Sayad;2018;Halbmarathon;Frauen;79,37;4596,4809923664125;-6,758257723883992
Anna-Katharin Plinke;2018;Halbmarathon;Frauen;79,4;4596,4809923664125;-6,758212839502789
Katrin Reischmann;2018;Halbmarathon;Frauen;79,47;4596,4809923664125;-6,758108109279982
Carolin Mattern;2018;Halbmarathon;Frauen;80,2;4596,4809923664125;-6,757015922670716
Maria Kerres;2018;Halbmarathon;Frauen;80,28;4596,4809923664125;-6,7568962309875085
Miriam Zirk;2018;Halbmarathon;Frauen;80,31;4596,4809923664125;-6,756851346606305
Nicole Moebus;2018;Halbmarathon;Frauen;80,47;4596,4809923664125;-6,756611963239891
Lena Sommer;2018;Halbmarathon;Frauen;80,49;4596,4809923664125;-6,756582040319089
Anne Barber;2018;Halbmarathon;Frauen;81,16;4596,4809923664125;-6,7555796224722275
Jana Baum;2018;Halbmarathon;Frauen;81,17;4596,4809923664125;-6,755564661011826
Melina Wolf;2018;Halbmarathon;Frauen;81,22;4596,4809923664125;-6,755489853709822
Nadja Lellau;2018;Halbmarathon;Frauen;81,31;4596,4809923664125;-6,755355200566213
Sophia Kaiser;2018;Halbmarathon;Frauen;81,42;4596,4809923664125;-6,755190624501804
Elisabeth Knott;2018;Halbmarathon;Frauen;81,42;4596,4809923664125;-6,755190624501804
Cornelia Griesche;2018;Halbmarathon;Frauen;81,48;4596,4809923664125;-6,755100855739399
Finn Atzbacher;2021;3000 m Hindernis;U23;814,85;571,2986039453718;6,746203839763149
Steffen Sens;2020;100 km;Maenner;61274,0;30967,512087813622;6,736636078123589
Justin Steinbach;2018;2000 m Hindernis;18;556,88;396,6684944237918;6,613120317053485
Theodor Hammerl;2023;2000 m Hindernis;20;499,64;376,6722873345936;6,4828445875698755
Janne Straub;2021;3000 m Hindernis;U23;804,56;571,2986039453718;6,4611780150883735
Melanie Schulte;2024;100 km;Frauen;82723,0;37423,01996746204;6,303884213452277
Jonas Wallschlaeger;2023;2000 m Hindernis;20;492,83;376,6722873345936;6,123822119928492
Annika Glueber;2020;10 km;20;3101,0;2337,4150442477876;6,010359453164783
Nike Friese;2020;10 km;20;3095,0;2337,4150442477876;5,963132020974918
Malcom Bankwitz;2010;Hochsprung;14;2,04;1,7400797266514807;5,945764688091567
Finn Schulze;2024;10 000 m;U23;2837,36;1957,6673254086184;5,869954889978258
Katharina Meyers;2020;10 km;20;3081,0;2337,4150442477876;5,852934679198566
Geronimo von Wartburg;2018;Marathon;Maenner;143,46;8434,680008960573;-5,800022047319254
Felix Plinke;2018;Marathon;Maenner;147,43;8434,680008960573;-5,797244882136931
Lasse Rahn;2022;2000 m Hindernis;18;536,94;396,6684944237918;5,790048224647979
Angelina Guenther;2020;10 km;20;3066,0;2337,4150442477876;5,734866098723904
Jasper Nissen;2020;10 km;18;2615,0;2077,255415162455;5,64344612147201
Sigrid Eichner;2020;100 km;Frauen;77885,0;37423,01996746204;5,630634649042404
Jonas Wallschlaeger;2022;2000 m Hindernis;20;483,37;376,6722873345936;5,625091937272473
Lucas Schulz-Muehlmann;2020;10 km;18;2613,0;2077,255415162455;5,622456803194907
Werner Stoecker;2020;100 km;Maenner;56113,0;30967,512087813622;5,589430275196634
Simon Wahl;2020;10 km;18;2609,0;2077,255415162455;5,5804781666407
Florian Luebs;2022;10 000 m;U23;2784,98;1957,6673254086184;5,520437102667047
Michaela Fromm;2020;10 km;20;3036,0;2337,4150442477876;5,498728937774579
