name;jahr;disziplin;altersklasse;leistung;grp_mean;z_score
Finn Bjarne Schmidt;2020;3000 m;18;211,83;542,3969592;-19,79366795
Alina Herr;2020;800 m;18;77,6;134,4174283;-17,45533421
Gerhard Kaster;2020;100 km;Maenner;74987;31017,51523;10,2004002
Sebastian Liebscher;2023;2000 m Hindernis;20;526,34;376,6722873;7,890465716
Walter Zimmermann;2020;100 km;Maenner;64878;31017,51523;7,855231811
Emilia Seitz;2023;3000 m Hindernis;Frauen;1124,92;667,381052;7,442016941
Theodor Hammerl;2022;2000 m Hindernis;20;515,25;376,6722873;7,305802109
Iris Henche;2020;Marathon;Frauen;15555;10257,2457;7,218003943
Steffen Sens;2020;100 km;Maenner;61274;31017,51523;7,019146455
Luca Zorrmann;2023;10 000 m;U23;2984,91;1957,667325;6,854516736
Selina Berger;2020;10 km;20;3205;2337,415044;6,828968278
Melanie Schulte;2024;100 km;Frauen;82723;37712,13557;6,821296424
Finn Atzbacher;2021;3000 m Hindernis;U23;814,85;571,2986039;6,74620384
Cara Weidner;2020;10 km;18;3444;2464,985375;6,740705893
Justin Steinbach;2018;2000 m Hindernis;18;556,88;396,6684944;6,613120317
Theodor Hammerl;2023;2000 m Hindernis;20;499,64;376,6722873;6,482844588
Anton Graef;2020;Halbmarathon;U23;6195;4368,669388;6,462136113
Janne Straub;2021;3000 m Hindernis;U23;804,56;571,2986039;6,461178015
Jonas Wallschlaeger;2023;2000 m Hindernis;20;492,83;376,6722873;6,12382212
Sigrid Eichner;2020;100 km;Frauen;77885;37712,13557;6,088108281
Marvin Simon;2020;3000 m Hindernis;Maenner;753;559,9468616;6,051671997
Annika Glueber;2020;10 km;20;3101;2337,415044;6,010359453
Nike Friese;2020;10 km;20;3095;2337,415044;5,963132021
Malcom Bankwitz;2010;Hochsprung;14;2,04;1,740079727;5,945764688
Till Hoette;2020;Halbmarathon;U23;6035;4368,669388;5,896005441
Finn Schulze;2024;10 000 m;U23;2837,36;1957,667325;5,86995489
Katharina Meyers;2020;10 km;20;3081;2337,415044;5,852934679
Werner Stoecker;2020;100 km;Maenner;56113;31017,51523;5,821855523
Angela Muehle;2020;Marathon;Frauen;14526;10257,2457;5,816027626
Jasmin Eigenrauch;2022;Halbmarathon;U23;8002;5268,768688;5,809098073
Lasse Rahn;2022;2000 m Hindernis;18;536,94;396,6684944;5,790048225
Ute Baldauf;2020;Marathon;Frauen;14490;10257,2457;5,766978892
Angelina Guenther;2020;10 km;20;3066;2337,415044;5,734866099
Joerg Stutzke;2020;100 km;Maenner;55678;31017,51523;5,72094067
Hannah Saettele;2020;5000 m;20;1464,56;1113,156225;5,644313656
Jasper Nissen;2020;10 km;18;2615;2077,255415;5,643446121
Eva John;2020;10 km;18;3282;2464,985375;5,62530442
Jonas Wallschlaeger;2022;2000 m Hindernis;20;483,37;376,6722873;5,625091937
Lucas Schulz-Muehlmann;2020;10 km;18;2613;2077,255415;5,622456803
Diana Obermeyer;2019;100 km;Frauen;74659;37712,13557;5,599215154
Simon Wahl;2020;10 km;18;2609;2077,255415;5,580478167
Florian Luebs;2022;10 000 m;U23;2784,98;1957,667325;5,520437103
Michaela Fromm;2020;10 km;20;3036;2337,415044;5,498728938
Annika Glueber;2020;5000 m;20;1455,34;1113,156225;5,496220279
Celine Friebel;2020;10 km;20;3035;2337,415044;5,490857699
Theresia Gross;2020;Marathon;Frauen;14281;10257,2457;5,482223741
Marlena Schulze;2024;10 000 m;U23;3447,6;2317,815987;5,480966543
Florian Seel;2020;10 km;18;2599;2077,255415;5,475531575
Kathleen Hollenberg;2013;2000 m Hindernis;20;650,98;448,5752972;5,439572877
Erik Lutzmann;2020;10 km;18;2594;2077,255415;5,42305828
Pauline Simon;2020;10 km;20;3026;2337,415044;5,420016551
Falk Wendrich;2012;Hochsprung;18;2,24;1,924562212;5,410752982
Solveig Turss;2022;Halbmarathon;U23;7810;5268,768688;5,401029123
Luca Zorrmann;2024;10 000 m;U23;2764,86;1957,667325;5,386181702
Paul Kroiss;2022;2000 m Hindernis;20;478,54;376,6722873;5,370454857
Ilka Buesing;2019;100 km;Frauen;73040;37712,13557;5,353859304
Robin Petzold;2020;10 km;18;2587;2077,255415;5,349595666
Karina Kluge;2024;100 km;Frauen;72889;37712,13557;5,33097559
Konstanze Klosterhalfen;2019;3000 m;U23;500,07;589,9804036;-5,312198742
Edda Hanna Bauer;2020;100 km;Frauen;72511;37712,13557;5,27369053
Kimberly Jess;2006;Hochsprung;14;1,83;1,622604952;5,250899204
Lilli Marie Schaper;2021;3000 m;14;944,11;706,4907008;5,231946617
Daniela Gudelj;2020;5000 m;20;1438,7;1113,156225;5,228945463
Cathleen Frank;2020;Marathon;Frauen;14079;10257,2457;5,207005844
Paula John;2021;10 km;18;3221;2464,985375;5,205307569
Ariane Friedrich;2009;Hochsprung;Frauen;2,06;1,77884;5,203286135
Kimberly Jess;2007;Hochsprung;16;1,87;1,665059848;5,200240136
Vivian Zimmer;2004;Speerwurf;18;60,14;43,32502939;5,185188633
Johanna Goering;2021;Hochsprung;18;1,92;1,704030087;5,156034283
Timon Rotter;2024;10 000 m;U23;2728,61;1957,667325;5,144295108
Wiktor Vernikov;2020;10 km;18;2567;2077,255415;5,139702483
Erik Zimmerling;2018;2000 m Hindernis;18;520,86;396,6684944;5,126307039
Andreina Byrd;2003;Marathon;Frauen;14006;10257,2457;5,107545911
Selina Berger;2020;10 km;18;3205;2464,985375;5,095144461
Hannes Herzberg;2022;Halbmarathon;U23;5807;4368,669388;5,089269232
Marcel Martin;2020;3000 m Hindernis;Maenner;721,7;559,9468616;5,070505179
Christin Hussong;2011;Speerwurf;18;59,74;43,32502939;5,061841676
Nicole Postler;2020;Marathon;Frauen;13971;10257,2457;5,059859641
Laura Glaesner;2013;2000 m Hindernis;20;635,9;448,5752972;5,034301863
Farina Schoebel;2013;2000 m Hindernis;20;635,9;448,5752972;5,034301863
Marvin Simon;2020;3000 m Hindernis;U23;753;571,2986039;5,033001968
