jahr,disziplin,geschlecht,altersklasse,anzahl_leistungen
2001,Stabhochsprung,W,20,61
2001,Stabhochsprung,M,18,60
2001,Hochsprung,W,20,57
2001,Weitsprung,M,Maenner,57
2001,Stabhochsprung,M,20,53
2001,400 m,W,20,52
2001,Stabhochsprung,M,Maenner,52
2001,100 m,W,18,51
2001,Hochsprung,M,18,51
2001,Hochsprung,M,Maenner,51
2001,Hochsprung,W,Frauen,51
2001,Weitsprung,W,Frauen,51
2001,100 m,M,18,50
2001,100 m,W,20,50
2001,1500 m,W,20,50
2001,1500 m,W,Frauen,50
2001,400 m,W,18,50
2001,400 m,W,Frauen,50
2001,400 m Huerden,M,18,50
2001,400 m Huerden,W,18,50
2001,400 m Huerden,W,20,50
2001,800 m,W,18,50
2001,800 m,W,20,50
2001,800 m,W,Frauen,50
2001,Diskuswurf,M,20,50
2001,Diskuswurf,M,Maenner,50
2001,Diskuswurf,W,18,50
2001,Diskuswurf,W,20,50
2001,Hammerwurf,M,18,50
2001,Hammerwurf,W,18,50
2001,Hochsprung,M,20,50
2001,Kugelstoss,M,18,50
2001,Kugelstoss,M,20,50
2001,Kugelstoss,W,20,50
2001,Speerwurf,M,18,50
2001,Speerwurf,M,20,50
2001,Speerwurf,W,18,50
2001,Speerwurf,W,20,50
2001,Speerwurf,W,Frauen,50
2001,Stabhochsprung,W,18,50
2001,Stabhochsprung,W,Frauen,50
2001,10 km,M,Maenner,49
2001,10 km,W,Frauen,49
2001,1500 m,M,20,49
2001,1500 m,W,18,49
2001,400 m,M,18,49
2001,400 m Huerden,M,Maenner,49
2001,400 m Huerden,W,Frauen,49
2001,Diskuswurf,M,18,49
2001,Diskuswurf,W,Frauen,49
2001,Hammerwurf,M,20,49
2001,Hammerwurf,M,Maenner,49
2001,Hammerwurf,W,20,49
2001,Hammerwurf,W,Frauen,49
2001,Hochsprung,W,18,49
2001,Kugelstoss,W,18,49
2001,Kugelstoss,W,Frauen,49
2001,Marathon,M,Maenner,49
2001,Marathon,W,Frauen,49
2001,Speerwurf,M,Maenner,49
2001,100 m,W,Frauen,48
2001,1500 m,M,18,48
2001,1500 m,M,Maenner,48
2001,3000 m Hindernis,M,Maenner,48
2001,400 m,M,20,48
2001,400 m,M,Maenner,48
2001,400 m Huerden,M,20,48
2001,5000 m,M,Maenner,48
2001,800 m,M,Maenner,48
2001,Dreisprung,W,18,48
2001,Kugelstoss,M,Maenner,48
2001,Weitsprung,M,20,48
2001,10 000 m,M,Maenner,47
2001,100 m Huerden,W,20,47
2001,100 m Huerden,W,Frauen,47
2001,800 m,M,18,47
2001,Dreisprung,W,20,47
2001,Dreisprung,W,Frauen,47
2001,Weitsprung,W,20,47
2001,3000 m,M,20,46
2001,800 m,M,20,46
2001,Dreisprung,M,18,46
2001,Dreisprung,M,20,46
2001,Weitsprung,M,18,46
2001,2000 m Hindernis,M,18,45
2001,3000 m,M,18,45
2001,5000 m,M,20,45
2001,200 m,M,18,44
2001,200 m,W,18,44
2001,200 m,W,20,44
2001,5000 m,W,Frauen,44
2001,Weitsprung,W,18,44
2001,3000 m,W,18,43
2001,3000 m,W,20,43
2001,Dreisprung,M,Maenner,43
2001,200 m,M,20,42
2001,200 m,M,Maenner,42
2001,100 m,M,20,41
2001,100 m,M,Maenner,41
2001,110 m Huerden,M,Maenner,41
2001,5000 m,W,20,41
2001,10 000 m,W,Frauen,40
2001,110 m Huerden,M,18,39
2001,110 m Huerden,M,20,39
2001,200 m,W,Frauen,36
2001,Weitsprung,W,U23,36
2001,100 m Huerden,W,18,34
2001,Hochsprung,W,U23,34
2001,Dreisprung,M,U23,31
2001,Hochsprung,M,U23,31
2001,10 km,M,U23,30
2001,10 km,W,U23,30
2001,1500 m,W,U23,30
2001,400 m,W,U23,30
2001,400 m Huerden,M,U23,30
2001,400 m Huerden,W,U23,30
2001,5000 m,W,U23,30
2001,800 m,W,U23,30
2001,Diskuswurf,M,U23,30
2001,Dreisprung,W,U23,30
2001,Hammerwurf,M,U23,30
2001,Kugelstoss,M,U23,30
2001,Speerwurf,W,U23,30
2001,Stabhochsprung,W,U23,30
2001,100 m Huerden,W,U23,29
2001,1500 m,M,U23,29
2001,3000 m Hindernis,M,U23,29
2001,400 m,M,U23,29
2001,5000 m,M,U23,29
2001,Diskuswurf,W,U23,29
2001,Hammerwurf,W,U23,29
2001,Kugelstoss,W,U23,29
2001,Speerwurf,M,U23,29
2001,Stabhochsprung,M,U23,29
2001,Weitsprung,M,U23,29
2001,100 m,M,U23,28
2001,100 m,W,U23,27
2001,800 m,M,U23,27
2001,200 m,M,U23,26
2001,10 000 m,M,U23,20
2001,10 000 m,W,U23,20
2001,110 m Huerden,M,U23,20
2001,200 m,W,U23,20
2001,3000 m Hindernis,W,Frauen,10
2001,3000 m Hindernis,W,U23,5
2002,Hochsprung,W,Frauen,65
2002,Hochsprung,M,Maenner,61
2002,Stabhochsprung,M,18,57
2002,Hochsprung,M,20,56
2002,Stabhochsprung,W,18,53
2002,Hochsprung,M,18,52
2002,Stabhochsprung,W,20,52
2002,Diskuswurf,W,20,51
2002,Hammerwurf,W,Frauen,51
2002,Hochsprung,W,20,51
2002,Stabhochsprung,W,Frauen,51
2002,1500 m,M,20,50
2002,1500 m,M,Maenner,50
2002,1500 m,W,Frauen,50
2002,400 m,W,20,50
2002,400 m,W,Frauen,50
2002,400 m Huerden,M,18,50
2002,400 m Huerden,M,20,50
2002,400 m Huerden,W,Frauen,50
2002,800 m,W,20,50
